"NAME","Inches","Millimeters"
"Letter","8.5 × 11","216 x 279 "
"Legal","8.5 × 14","216 x 356 "
"Ledger","11 × 17","279 x 432 "
"ANSI C","17 × 22","432 × 559"
"ANSI D","22 × 34","559 × 864"
"ANSI E","34 × 44","864 × 1118"
"ARCH A","9 × 12","229 × 305"
"ARCH B","12 × 18","305 × 457"
"ARCH C","18 × 24","457 × 610"
"ARCH D","24 × 36","610 × 914"
"ARCH E","36 × 48","914 × 1219"
"ARCH E1","30 × 42","762 × 1067"
"ARCH E2","26 × 38","660 × 965"
"ARCH E3","27 × 39","686 × 991"
"A0","33.11 × 46.81","841 × 1189"
"A1","23.39 × 33.11","594 × 841"
"A2","16.54 × 23.39","420 × 594"
"A3","11.69 × 16.54","297 × 420"
"A4","8.27 × 11.69","210 × 297"
"A5","5.83 × 8.27","148 × 210"
"B0","39.37 × 55.67","1000 × 1414"
"B1","27.83× 39.37","707 × 1000"
"B2","19.68 × 27.83","500 × 707"
"B3","13.90 × 19.68","353 × 500"
"B4","9.84 × 13.90","250 × 353"
"B5","6.93 × 9.84","176 × 250"
"B6","4.92 × 6.93","125 × 176"
